이스탄불,이스탄불,2
총기난사,"총기,난사",
총격테러,"총격,테러",
산타클로스,산타클로스,2
나이트클럽,"나이트,클럽",3
새해첫날,"새해,첫날",
잔혹행위,"잔혹,행위",
산타복장,"산타,복장",
구속영장,"구속,영장",
이대교수,"이대,교수",
문화융성위원,"문화,융성,위원",
마이너스,마이너스,3
무역수지,"무역,수지",
주력품목,"주력,품목",
장기불황,"장기,불황",
블랙리스트,"블랙,리스트",3
고발요청,"고발,요청",
위증혐의,"위증,혐의",
교육문화수석,"교육,문화,수석",
문화예술인,"문화,예술인",
대한항공,"대한,항공",2
대한민국,대한민국,2
아시아나항공,"아시아나,항공",
수출화물,"수출,화물",
인천공항,"인천,공항",3
고객맞이,"고객,맞이",
그랜드하얏트호텔,"그랜드,하얏트,호텔","2,3"
화물담당,"화물,담당",
인천국제공항,"인천,국제,공항",2
대한항공대한항공,"대한,항공,대한,항공",2
건강검진권,"건강,검진권",
새누리당,새누리당,2
민주주의,민주주의,
맞불집회,"맞불,집회",
대구경북,"대구,경북",2
세계무대,"세계,무대",
국제사회,"국제,사회",
브로맨스,브로맨스,3
신년인사,"신년,인사",
국제정세,"국제,정세",
해상초계기,"해상,초계기",
인명피해,"인명,피해",
대함미사일,"대함,미사일",
수중음파,"수중,음파",
어처구니,어처구니,
기폭장치,"기폭,장치",
사무총장,사무총장,
새해인사,"새해,인사",
시험발사,"시험,발사",
탄도미사일,"탄도,미사일",
대륙간탄도미사일,"대륙간,탄도,미사일",
남북관계,"남북,관계",
전쟁연습,"전쟁,연습",
통일대회합,"통일,대회합",
자력자강,"자력,자강",
발사준비,"발사,준비",
대미관계,"대미,관계",
긴급인도,"긴급,인도",
긴급인도구속,"긴급,인도,구속",
인도구속,"인도,구속",
불법체류,"불법,체류",
대리시험,"대리,시험",
수행비서,"수행,비서",
미스터리,미스터리,3
심근경색,"심근,경색",
살인사건,"살인,사건",
야간선물,"야간,선물",
상위종목,"상위,종목",
매경이코노미,"매경,이코노미","2,3"
롯데케미칼,"롯데,케미칼","2,3"
교문수석,"교문,수석",
보수인사,"보수,인사",
영장심사,"영장,심사",
대면조사,"대면,조사",
다이빙벨,다이빙벨,3
체인지로,체인지로,"2,3"
기업가치,"기업,가치",
입지강화,"입지,강화",
구조혁신,"구조,혁신",
소사이어티,소사이어티,3
기술중심회사,"기술,중심,회사",
경영화두,"경영,화두",
하이닉스,하이닉스,3
마감단계,"마감,단계",
자아비판,"자아,비판",
재벌그룹,"재벌,그룹",
남남갈등,"남남,갈등",
코스프레,코스프레,3
준비사업,"준비,사업",
롤러코스터,롤러코스터,3
총기규제,"총기,규제",
대선개입,"대선,개입",
트럼프측,트럼프측,"2,3"
서울시장,"서울,시장",
대권도전,"대권,도전",
정권교체,"정권,교체",
대선출마,"대선,출마",
박원순시장,"박원순,시장",2
대권고지,"대권,고지",
여론조사기관,"여론,조사,기관",
출입기자들,"출입,기자들",
국민의당,국민의당,2
출마선언,"출마,선언",
기자회견,"기자,회견",
당권도전,"당권,도전",
정권창출,"정권,창출",
대선연대,"대선,연대",
찬반투표,"찬반,투표",
판매목표,"판매,목표",
현대기아차,"현대,기아차",2
현대ㆍ기아차,"현대,기아차",2
정면돌파,"정면,돌파",
현대차그룹,"현대차,그룹",2
연간판매,"연간,판매",
르노삼성,"르노,삼성",3
인적청산,"인적,청산",
뉴스브리핑,"뉴스,브리핑",3
친박핵심,"친박,핵심",
경찰청장,경찰청장,
박대통령,박대통령,2
타살의혹,"타살,의혹",
관상동맥경화,"관상,동맥,경화",
통화내용,"통화,내용",
적색수배,"적색,수배",
전원도시,"전원,도시",
일등공신,"일등,공신",
신문브리핑,"신문,브리핑",3?
폭스바겐,폭스바겐,3
탄핵심판,"탄핵,심판",
